vocabulary,pos,mean
institution,n.,制度或習俗
eradicate,v.,根除，消滅
legislative,adj.,立法的
simulate,v.,模擬
drain,v.,流走
incubation,n.,孵；培養
insulate,v.,阻隔；隔絕，孤立
embryo,n.,胚胎，胚芽
boulder,n.,巨石
silt,n.,淤泥
damp,adj.,微濕的
mold,v.,塑造，使…成形
durable,adj.,持久的；耐用的
fine,adj.,顆粒微小的
residue,n.,剩餘物，殘餘
reveal,v.,透露，暴露
impart,v.,傳遞
intuitive,adj.,直覺型
drastically,adv.,徹底地
integrate,v.,融合
vow,v.,發誓
generosity,n.,慷慨，大方
monochrome,adj.,單色的
perception,n.,感知能力
tune,v.,調整…以接收某訊號
eerily,adv.,怪異的，可怕地
intensity,n.,強度；猛烈
excel,v.,勝過
gradation,n.,(顏色)漸變
surpass,v.,超越，勝過
artisan,n.,工匠，技工
process,v.,加工處理
enhance,v.,提高(價值)
sanction,n.,約束力
pursuit,n.,職業；追蹤
tavern,n.,酒館，酒店
modest,adj.,中等的
platform,n.,月台，講台
